,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
14,-0.30566849100000004,-0.37922114,0.474128062,-3.1013380089999996,2.272053478,-0.08601869,-1.1222253709999999,-2.768872822,-12.70325292,0.5932402689999999,3.2596530169999998,3.748167425,2.8992343689999998,-1.544197993,-0.39831792899999996,-1.6574522969999999,-0.600099053,4.082244875,-11.77508471,-5.596233005,4.087334681000001,0.8428575140000001,1.012762175,4.0467235310000005,-0.025555427999999998,-2.622469877,-0.145706911,0.45012195899999996,0.11060705300000001,-3.355038402,1.095812917,2.943350956,1.9022678530000001,2.129327977,-0.706371705,-0.43211746,2.624186795,2.482266615,2.9163603260000004,5.641393194,7.047002514,0.350552462,-8.581407427,0.942156123,0.29556401600000004,0.368385345,6.592293809,-2.501708161,2.124601154,0.84158897,-4.54152766,0.041702384,-1.929151347,-2.5127342219999997,-0.465345147,-3.274821172,2.319784965,1.377771738,1.4191297280000001,-3.3106940469999997,0.970038904,4.383084123,1.823743704,1.821985323,0.30695244899999996,-0.8407066870000001,2.4459307669999997,3.763820084,4.831505538,2.95082636,-8.418523746,3.2831081810000002,-11.96809525,10.22056466,-4.085427597,-1.061414282,0.881386098,4.408568935,6.515072925,0.9277994820000001,-5.430768725,-1.961679245,0.699252694,-1.873424201,0.454348143,-4.114447209,2.001915204,3.0093122439999997,6.664241867,0.784426077,4.464867658999999,-0.090633151,-1.575209541,-1.21416274,5.174058116,-3.557482508,0.408240041,-0.10065527199999999,3.756366327,-0.509788406,-0.0,1.8781356980000001,-5.716885832000001,0.46637699299999996,-3.557482508,-1.3676063930000002,-3.8979664460000003,-1.3689875459999998,-0.946771323,4.378280736000001,-8.89140022,0.532375115,2.8956597410000002,2.791321948,0.91764216,-0.442478334,3.738409716,-2.7262485219999997,0.8746994840000001,-2.789904405,0.665798082,1.5169568409999998,3.337367018,-1.114609126,-2.65646725,0.08253873,1.115036851,-6.924610863,-0.6193699229999999,-0.891120047,-2.843983078,3.0855372660000002,-7.053839524,8.268426798,3.9480441739999996,-4.980881538,0.878740223,0.786022795,-0.361402016,-7.853842316000001,2.0533802519999997,1.553175714,-0.024923848999999998,-5.902714946000001,4.014464783999999,6.623902495,3.581046909,3.624539431,2.67847662,-1.6674695769999999,-5.97897433,-2.728374374,-4.7734314819999994,-13.7539701,-10.7178541,-2.493673385,0.29072149399999997,2.235965492,-1.461627724,2.6920154660000004,5.063599463,2.086805453,2.576521235,9.282971836,7.240611036000001,5.766291535,-1.7571000780000001,-0.8739694640000001,2.9281963980000003,0.361616681,-0.8719159329999999,-2.9188126889999997,-4.526458547,2.414803676,1.132106655,8.796875134,-0.30566849100000004,2.891469397,-5.267424396,3.837315722,-2.941431727,1.328242078,0.179818576,2.7052489680000003
15,-1.3576535269999999,10.14918746,11.1185553,15.75493609,14.42030159,5.714341073,1.206147919,9.617698417,7.340967535,5.693792778,12.16196128,7.0005836729999995,4.64400558,0.807865499,8.418588757,14.08169956,13.89467872,-2.494888032,21.63520923,9.366014816,-0.226195498,15.96166821,6.521674177,4.065070051,-25.42862325,18.37202834,18.81098577,7.425856349,5.240869664,2.306308507,9.133721608,14.47816687,5.180734641,8.575167359,11.93338822,7.097567352,-0.806870855,12.31240013,5.08158493,-16.40741701,11.20070337,9.806459275,11.111294000000001,11.10371519,19.16440612,10.15203523,2.315446679,14.05129077,17.51165874,3.0664414160000004,15.95210228,8.253447227,11.20100842,17.25772732,10.66771039,13.33585496,5.272609281,8.85531708,7.734741701,5.476167187000001,5.953280615,11.29280593,13.23568626,12.88634214,8.559648465,11.5347899,1.505299201,9.78909953,2.407588511,-2.563453974,19.27612775,-0.30192084,19.17274738,1.43427812,6.780955766,2.890135495,8.056377458,10.44968455,-30.004181,8.196871316000001,12.28845916,15.00821794,7.006771283,7.013544273,-0.21451863899999998,2.304846355,-0.298820304,3.62059032,11.95019407,11.07237456,-2.577611073,15.72562682,7.426069555,5.002973883,-1.0138166659999999,4.288561136,14.62592552,12.98858919,6.968251897999999,14.76300539,-0.0,3.824801907,12.18804279,11.1737866,4.288561136,6.251454597,12.81057034,8.026417117000001,11.95650548,4.754185655,18.67442444,1.754803488,14.56767434,8.949277885,9.178344287,13.13167108,-3.420216519,17.37366115,-13.27807102,-0.37285244799999995,3.540026955,8.170283762999999,7.789302682000001,11.41341958,2.9310139289999997,2.123352153,13.64703505,12.59209354,-18.40205923,11.04875671,-4.345171547,-12.84185961,10.48220173,3.372837759,6.330710863999999,6.754896921,7.5093660710000005,0.005838593,13.11013155,16.22931067,0.625255211,13.94519724,13.87540886,7.351492897999999,13.28428357,-0.59281016,8.794825303,8.184645696,7.774532212,11.11308986,20.61120959,14.78116521,1.9547180469999998,15.83321458,12.033776699999999,4.97466281,18.30889355,10.95394724,3.07433541,4.73629204,1.92402705,4.180572853,6.287943146,-19.32502553,5.23600035,11.36145644,11.39486077,10.59424958,3.8032001230000003,4.720847,8.804326577000001,11.17641432,5.906782105,7.470494497000001,5.356766075,3.687621161,-1.3576535269999999,8.400099642999999,3.632033049,9.590713436,17.540025699999997,15.6038167,14.34868591,13.81091706
16,8.175382264,4.839977595,8.486053534,6.340744143999999,2.708292425,6.430521285,-2.034333495,5.131933117,8.249554707,-4.131388698,4.794891656,16.91791342,2.336562055,2.221905822,25.25468131,4.896501289,-0.285729357,2.87183904,10.56818076,-8.125571204,-5.603281081,-2.052367715,6.15109515,9.287264211,5.788115159,12.38545438,6.148509671,3.309732986,-0.6848947879999999,13.12879535,7.992933497,2.60239604,6.35623091,4.885064772,5.43608782,6.04033187,3.0568245060000003,-5.353024566,6.585737021,-3.645915019,2.9355639780000002,-6.474169811,7.404776957999999,11.0092785,7.9878498879999995,0.036712612,9.013536943,6.493870557999999,2.463974741,-4.437389375,7.548330391,9.984597423,0.422062659,7.167307354,3.661799545,-6.431074529,11.08950897,8.659068764,8.940643946,-3.0589574789999996,3.899739329,6.525098879,-3.962721236,-6.370948802000001,8.896238948999999,3.56713358,3.061002718,7.8016744970000005,-2.590139336,-4.6673142510000005,10.17143404,5.74667461,6.646200415,-3.741440528,9.155582313,7.365520769,0.608760667,-0.292050515,0.82603432,-4.025527759,10.91366117,11.03526485,-0.613073726,2.217306266,3.019564402,8.230156435,1.512228884,9.396814347000001,0.259118239,2.54526887,12.37684087,-1.5042629580000002,8.931630915,-2.9068218839999997,9.826015437999999,22.88262714,3.7890684219999997,-5.75867617,17.16016092,-4.181366617,-0.0,6.644585117999999,0.671093588,4.8548153769999995,22.88262714,2.452049755,6.607870307000001,4.3059175839999995,0.873537709,15.27429537,8.759904319,2.657581489,4.383470019,4.631291549,-6.211747523,3.781511605,9.719053018,5.900887141,1.207842389,2.7867813569999997,4.069641437,7.908841739,16.06062351,2.002333658,0.830252,0.19042926100000002,6.785180185,8.257915172999999,-2.612739683,4.4806536139999995,0.021996942000000002,5.65831367,1.970661201,15.18029919,9.032869465,-3.194861257,-4.92193798,-2.3461333669999997,-0.06528341900000001,2.910200988,-1.137915365,4.46201927,6.907398701,5.648593622000001,0.6994660420000001,6.417981159,8.637909497999999,15.98032127,2.771641998,9.425166852,6.39325005,-0.9329077029999999,4.383747515,5.9648622520000005,9.392092385,-1.243233878,-0.310427752,-0.433253279,3.876104142,1.065038023,10.6434409,4.390628726,4.593830141000001,7.994692852000001,7.228031929,0.530477196,5.417001554,0.37890421799999996,-7.4412543520000005,6.298628164,7.030313552999999,-0.661781675,4.594974971,8.179819194,4.800324971,8.17263145,8.175382264,10.82463826,5.328658249,6.906148357999999,6.697889729,4.1102451339999995,2.155251069,6.358444877999999
17,4.315103639,0.6440784829999999,5.3812676139999995,-10.01897136,8.537297168,-2.015697856,-0.125438528,7.481154198,-3.2533937230000003,2.680782358,-3.3717352289999996,1.709705087,2.453683061,3.0033052689999997,8.530468341,-9.454481488999999,5.147180217,5.19560754,-8.343146975,-3.835634116,6.698051034,6.132544879,2.50336065,5.333472917,-10.32659435,15.09056724,3.989654157,-1.551107745,2.144638591,-0.040260196,-4.108350326,4.359688951,-2.0273921,2.7075482610000003,0.56662469,4.745554681000001,-1.211441843,-1.878950013,2.696492147,-2.412820588,4.738471877,-1.921370686,-2.261730859,-1.310541737,7.32964219,0.525060733,0.605648058,-1.1207031029999999,4.911177357,-0.006881338000000001,5.529084535,-0.07756073200000001,-0.23950644699999998,3.028656256,-1.531947305,-21.15340675,1.1532560840000001,5.04895534,7.132019153,-2.9998652530000003,3.7030907269999997,7.409628255,2.316131393,5.175412166,6.546145644,0.43321226700000004,3.948780818,13.28556976,-4.085454471,4.750545568,-4.144184804,2.485718085,-3.8095012660000003,-17.8717691,3.7731064069999998,13.59884398,1.629693031,0.20049710199999998,-2.981539198,-1.26546646,-1.729104709,5.610419939,-0.954402627,3.532524427,2.5918929790000003,6.051582169,1.226585616,-5.068772287,1.368698718,5.9528093339999995,-2.1868052959999997,-4.6086652180000005,7.9614850079999995,3.333579078,5.435044421000001,10.96524928,4.472749243,-1.473397293,-1.259602996,0.235640214,-0.0,-0.001695139,-14.04622843,10.14438258,10.96524928,-0.623345924,-11.03508046,1.523514571,-0.453578755,-0.128274505,-9.061308334,-0.079453606,1.545437846,0.794056345,5.351527577,-7.671194796,-8.082520076,6.160831043,-3.885706008,5.272476209,3.218140376,3.631729663,1.158170106,2.207065492,9.699867244,-0.6739673290000001,6.670800115,3.358468637,4.786078482,6.301178155,6.499697962000001,-8.494538961,-4.914975334,17.98290665,4.017933561,-15.61866277,-1.22247742,-9.780322673999999,6.3742083229999995,-12.20237504,-1.9131149159999998,-1.218360436,5.093747435,5.837675187,2.435677683,-15.33301686,-5.597840548,10.04057592,2.9560754389999997,4.252249777,-10.82189269,3.787586249,13.01511368,-4.378119675,-1.8517753069999998,0.055546921,14.39313254,-0.772434342,3.65411786,3.1817552360000003,-5.402443206,3.0749042999999996,2.100235449,-4.278609472,-5.888141525,0.6066687129999999,1.438852101,-4.198772591,2.100747831,2.793614825,2.888256119,-9.699422995,1.147148834,-0.300333136,2.591947364,-2.891349917,4.315103639,-1.259505041,-10.21286789,-0.7693320020000001,4.830659173,8.035621023,0.75388825,3.965311085
18,5.875724742999999,5.034714649,6.055438186,3.34570472,12.44543044,2.921362045,5.847308901,9.336096309,3.658921887,4.935137879,7.634739292000001,8.829853541,6.565683412,10.01284619,4.13766606,3.207887514,10.25285641,11.74023924,1.7330254859999998,-3.430125375,-3.83379567,10.01800736,1.851998292,12.60422983,2.397184135,-14.88194743,7.207418326,8.399385386,1.723326507,-0.204775679,2.144017008,3.990335304,5.251030323999999,8.529654615,4.091680128,-0.764349429,7.719600893,5.109071768,7.376924989,-1.7196669830000002,12.52388539,7.604029995,2.020449411,9.409769172,7.689077945,6.794943467,-2.379026621,2.486123427,1.494170161,2.11138954,11.01034816,0.060831575,-8.623565926,1.23190166,-1.377427204,3.0898313980000003,2.86052477,-1.018128333,8.239928945,5.75246122,4.572100609,10.52976491,7.970363732999999,13.04368277,4.7599012830000005,5.898968796,11.46697987,5.028066442,-4.0210897569999995,5.737897218,5.521497665,1.37483466,7.007389966,1.632279309,-0.320491739,13.334168300000002,7.3041304270000005,6.88478616,6.171957265,6.042753294,2.487107944,10.61067766,3.9411121,2.625511715,4.024907768,-8.596329831,5.947868204,-2.527775401,0.23949959399999998,8.227201001000001,-2.487424821,9.425163441,4.966701412,6.086816014,12.63241226,11.89563358,-0.243306002,-5.115462116000001,9.232930797,-8.640128346000001,-0.0,6.819044299,0.121884701,-6.20337673,11.89563358,8.071291883999999,4.156926185,9.56804078,2.161662946,1.680306024,-3.742986983,-1.013829092,2.9518726460000004,9.778963158,2.2321428009999997,0.06452855099999999,0.46512402,8.632826613999999,20.86210078,8.379643571,6.155200599,5.870295882000001,11.49451173,7.583490202999999,-3.8109675689999998,-5.158722924,9.634500782,9.481527326,8.065047417999999,4.996546382,1.360073885,1.046511529,3.4088791919999997,3.4482851389999998,3.941888285,1.244137089,6.401632729,4.939259089,12.68517359,2.525572619,1.218493243,6.465221992999999,9.881875789,8.265677655,6.416762658,-5.634454606,4.449529524,15.53146112,7.6075584439999995,0.512140385,2.9516228989999997,0.667720136,-2.053976569,6.7011089020000005,7.186292896,1.644429029,17.95065978,7.095162242000001,4.414071016,4.37482612,0.594415337,7.343991299,7.44330225,8.660333695,12.89451325,11.75476594,2.298907358,7.745755634,4.988152881,1.335908959,1.0887315709999998,-0.8436184109999999,1.2361249429999999,5.686762329,7.333562307,11.11094428,5.875724742999999,-5.556763319,6.818573606,4.104267664,5.5377625329999995,5.198281192,8.046684504,5.80962136
19,3.8897456139999997,4.4649246069999995,3.3342245989999997,7.242588287999999,5.727622696,1.153624201,5.93651126,6.291795777000001,6.265128207999999,6.359939025,0.879670277,6.80445084,1.3361134890000002,2.838734282,-6.410020691000001,5.15404038,7.5411574660000005,2.730358644,8.459964662,4.261739254,1.990464442,5.170325579,6.181167134,0.366214821,0.007175887,-0.50388974,4.855113402,2.1697249530000002,0.44509955100000004,8.776338402,2.8999512239999996,5.995410412000001,2.8833889619999997,2.263934856,3.2970250439999997,0.531995058,2.553208864,3.650419916,3.342559713,-11.83809226,-1.583808689,7.016242871,6.42139031,8.392622669,10.06016297,8.705390197,3.230789123,0.353072311,3.889521191,5.9362385710000005,4.874600942,6.692249073999999,5.036396023,2.8029932669999997,2.402757635,7.977771809,8.189652658,-5.4729651189999995,4.399433496,6.408997186000001,2.7620275239999996,0.7101034959999999,3.7122723239999997,1.5116954790000001,2.8738542660000004,3.23634998,3.133689247,2.056631979,8.968034657,1.490437482,5.750354496,1.94896575,7.025512428,2.700365278,3.4064388869999997,0.178808742,6.876557864,10.0839145,-5.205326386,7.583588429,4.483771805,3.9424728410000003,6.324166064,9.076284895,3.553840643,0.877912749,1.6877248569999999,5.322339467,7.4401321,9.823304941,5.320535037,9.082679642999999,-0.741988181,3.161951195,0.525232079,5.08553859,1.863828377,2.891362403,10.12696855,3.456701769,-0.0,2.544679141,4.935346891,4.356343576,5.08553859,5.412829959,6.83820367,2.870848248,7.161034057,1.19170529,9.970401847,0.9720937940000001,2.9317012160000004,4.547862353,3.676082959,3.684771747,5.055315558,2.4913739130000003,0.42203457200000005,1.697459386,1.99794748,-6.0992316429999995,6.628513809,-0.482470645,0.8735872379999999,2.53180241,5.397705665,5.29416169,1.0790384690000001,1.570938679,5.181193082,-0.70357725,6.248032827,5.358289061,8.01745296,7.013187195,6.84748055,2.434878129,6.2877308560000005,7.140206376,3.425154035,2.435904182,5.664773407,2.5685869219999997,2.8896244110000002,9.259276783999999,-0.39261792799999995,-2.199297296,2.487364505,6.235436042999999,7.821640499,-1.65730504,0.454579525,7.730352194,3.707628943,5.298358545,5.218796491,7.588849054,-1.74651338,2.094159108,5.594159007999999,2.475735466,5.637002572,1.340372629,6.86337447,0.029178348,3.771964205,5.473603326,4.951181459,1.77335114,2.261320526,4.3762733119999995,1.847620946,2.275399785,4.464642362,-0.24927730899999997,3.8897456139999997,6.109527159,3.3865792989999997,6.19815126,5.91133235,4.047618161,3.029654645,1.007107499
20,4.654272617,4.374108304,7.237409669,-3.1504234510000004,9.079571582,3.476353164,-2.140940728,12.39922469,1.4172411630000001,-0.773599778,3.869318765,2.377644164,1.959388615,-3.22570152,2.7768414210000003,1.796713891,7.106700522000001,4.599211697,-3.388132829,1.24393355,5.0709538069999995,7.808572436,5.146939864,4.149647427,1.444769205,4.74539344,3.295840342,2.827163451,0.881895104,1.650829342,-2.683252922,5.685954333,2.890220537,3.15673575,2.353719463,1.7454260080000001,5.133570767,7.406873308,3.570424206,-6.569865802000001,1.910898776,2.031781717,5.236279323,6.277434415,7.57923718,3.938789902,7.029101097000001,5.840625486,3.1932226960000003,4.245994832,4.698626806,6.656890947999999,-0.46710473799999996,8.166974058,2.05665034,-5.779824185,2.745205362,0.087310884,-1.377900474,-1.796199509,4.9569959610000005,2.771176837,3.9182207730000003,3.900533797,4.2550423969999995,1.4597887040000002,-0.066753954,7.262259577999999,13.86881374,1.950924901,-0.352935017,6.871953451,1.300812001,0.585230339,-0.518179625,0.9338666390000001,5.215238161,5.825605073999999,-0.534000927,0.5623762720000001,0.9338846120000001,7.744342705,3.181304794,5.557286239,-2.45662118,9.431705026,0.6633841970000001,5.438091828999999,0.059722476,8.966745468,1.580594791,-1.380694439,4.520282241,5.931002476000001,6.4786409879999995,7.4705460210000005,7.320438985,1.4876332780000001,2.501101669,1.755828019,-0.0,6.699952144,-1.00845728,6.866847997000001,7.4705460210000005,2.224278095,-1.270443145,-2.369384012,7.703815603,2.28829673,-7.702378572000001,-0.383715834,5.361899343999999,2.0094288330000003,5.377803201,4.347342291,2.804244991,2.586954771,2.863743655,2.971552134,1.760603718,1.57531117,4.206437552,6.2096639829999996,1.164248513,-1.4456716269999998,9.10635328,4.018512888,1.8223411390000002,4.093707393,7.307416666,0.790611055,3.559950482,3.990625645,6.50939131,16.67976002,0.068220462,3.6754288410000004,8.922533342000001,1.9265475419999998,-1.390523955,1.9950682569999998,8.617997902,7.223329539,3.059809985,5.270857167,3.9802477639999996,2.479897505,1.4948690359999999,4.588724995,0.9183926240000001,2.288817524,3.548367378,1.194097903,-1.090988362,4.143493587,4.180163005,1.500408341,1.554629071,2.934234898,1.997710923,2.862995967,2.37978846,6.358734687,0.8971013390000001,1.198120537,7.348964754,-1.490311711,13.91356879,7.921113828999999,4.381725517,-0.426479011,8.728439518,2.283441293,2.352407126,5.485751669,4.654272617,4.898656409,0.01365911,-3.576021963,1.072003636,3.34096454,5.389137354,3.029135845
21,3.4981546289999996,1.401575139,2.814600778,0.649689771,2.828491863,6.745775943,-1.216332213,5.676925395,0.284357831,1.5271762009999998,5.858959208,3.2353790119999997,4.754762094,6.746400587,12.46862502,0.09942754699999999,0.37541036200000005,3.244240791,-4.382291468,-1.5223448519999998,1.247193506,7.035730203,5.650454964,0.468318499,2.833804551,-1.864591361,9.461883236,5.917280324,1.5938093,0.6686575539999999,3.947570109,3.84954622,7.834639486,5.420329086000001,5.405849738,3.835435983,3.362166311,3.5061167789999996,4.7148672110000005,4.550234594,6.904513318999999,3.479479032,0.730988327,0.478084781,7.364106175,-1.4127497580000001,-1.769748551,1.3383275270000001,5.217071892,3.118570648,3.760235878,0.12479722,-2.4960248259999998,4.685218596,-2.3073530780000002,5.822578587000001,2.05139318,5.607785307,1.829068004,-0.344591624,4.845819036,8.57972911,5.777237215,9.092069398,7.906701472000001,1.003149241,3.530771045,0.697573398,10.82293236,1.776024499,-4.024666956,6.106520794,-1.9844387630000002,-1.279814037,6.314766368,2.669975154,0.86215811,-0.818920579,-9.356462207,1.74838567,-0.38682360299999996,3.824895525,1.745453195,4.955957876,5.605762792,4.940175677,-0.225182561,4.597992585,5.264278074,2.947183098,7.966906004,1.218761736,8.8592195,-0.7878622390000001,-2.0949333980000002,5.363888843,2.2047246680000003,-1.345225062,2.2925531130000003,-1.516288209,-0.0,4.611736095,1.435336037,2.384475584,5.363888843,2.83388365,1.0442106690000001,7.370982316,1.6970552890000001,5.889465173,-1.995389164,1.3612480980000001,7.067566306,1.9846547819999998,2.99784545,10.26013354,0.125442595,9.671754985,2.3089805290000003,6.080889612000001,4.31758849,1.861865075,2.276476122,0.316707433,5.74925607,2.060554027,4.754744882,3.9235952689999998,2.103904631,3.2536576,6.065733327999999,2.804679681,-1.29942749,-2.5171629209999997,-0.186629157,11.29350387,2.500482639,-1.401448732,1.4408135869999998,-0.396489762,2.114188549,5.340320462,3.919603397,3.9407094289999995,4.960183967,-3.014737101,3.8721463239999996,8.783296057000001,5.312376651,9.464378387,-2.251546094,5.759674519,2.24505162,-1.300323011,-2.898964452,-0.123313394,6.234565442999999,0.38158963,5.086313914,3.9446521339999996,6.086646491000001,0.7495624479999999,4.138001658,4.7669465010000005,4.873017977,6.163929392000001,-0.19917697399999998,-0.445566885,0.921669243,4.991576556,4.879314096,0.816710873,5.232481114,4.009223957,3.359555629,-0.321902721,3.4981546289999996,7.4566036879999995,1.754570094,0.853951681,3.81554895,5.724067071,5.068619645,9.19344848
